project_name,city,neighborhood,latitude,longitude,property_type,ad_spend,leads,qualified_leads,visits,reservations,sales,unsold_inventory,avg_price
Lakeview Residence,Tunis,Lac 2,36.845,10.278,Apartment,145000,920,510,320,140,96,12,460000
Menzah Horizon,Tunis,El Menzah,36.8431,10.1627,Apartment,98000,610,320,180,72,44,31,350000
Mutuelleville Gardens,Tunis,Mutuelleville,36.8239,10.1602,Villa,128000,540,335,210,98,63,14,520000
Montplaisir Offices,Tunis,Montplaisir,36.8215,10.1945,Office,87000,410,180,95,31,14,52,310000
Medina Central Lofts,Tunis,Centre Ville,36.8006,10.1797,Apartment,62000,360,155,82,24,11,47,265000
Bab Saadoun Heights,Tunis,Bab Saadoun,36.8077,10.16,Mixed Use,76000,430,210,120,46,27,33,295000
Ennasr Skyline,Ariana,Ennasr,36.8662,10.1537,Apartment,118000,780,430,255,112,74,15,390000
Soukra Green Villas,Ariana,Soukra,36.878,10.2515,Villa,132000,620,380,230,106,69,17,455000
Riadh Andalous Park,Ariana,Riadh Andalous,36.887,10.1735,Apartment,84000,505,260,150,58,36,29,320000
Borj Louzir Living,Ariana,Borj Louzir,36.8609,10.1472,Apartment,55000,340,140,78,22,10,51,245000
Ariana Business Hub,Ariana,Ariana Ville,36.8625,10.1956,Office,79000,420,215,118,45,24,37,285000
Mnihla Family Homes,Ariana,Mnihla,36.8716,10.1089,Townhouse,50000,300,120,66,18,8,54,230000
Marsa Corniche Residences,La Marsa,La Marsa Plage,36.8785,10.3301,Apartment,162000,960,560,340,156,104,10,610000
Gammarth Bay Villas,La Marsa,Gammarth,36.916,10.2854,Villa,175000,700,430,250,122,81,11,760000
Sidi Daoud Heights,La Marsa,Sidi Daoud,36.8729,10.3018,Apartment,110000,620,330,190,72,42,28,520000
Bhar Lazreg Gardens,La Marsa,Bhar Lazreg,36.8904,10.2867,Apartment,93000,540,280,162,61,35,34,470000
Cite El Khalil Offices,La Marsa,Cite El Khalil,36.8847,10.2979,Office,88000,390,205,114,43,21,40,490000
Marsa Marina Suites,La Marsa,La Marsa Plage,36.884,10.3335,Apartment,104000,430,195,108,34,15,58,580000
Khzema Palm Residence,Sousse,Khzema,35.8389,10.6123,Apartment,102000,690,385,228,97,65,18,330000
Kantaoui Seafront Suites,Sousse,Kantaoui,35.8933,10.596,Apartment,138000,760,448,272,126,86,14,480000
Sahloul Medical Offices,Sousse,Sahloul,35.8291,10.5944,Office,81000,430,230,130,51,29,36,290000
Jawhara Family Court,Sousse,Jawhara,35.8237,10.6231,Apartment,72000,460,235,134,50,31,35,260000
Hammam Sousse Villas,Sousse,Hammam Sousse,35.8586,10.5977,Villa,90000,370,195,108,36,17,49,420000
Medina Heritage Lofts,Sousse,Medina,35.8256,10.636,Apartment,58000,320,135,70,21,9,46,215000
Nabeul Jasmin Homes,Nabeul,Les Jasmins,36.4468,10.7255,Apartment,70000,445,225,128,47,28,32,245000
El Wafa Urban Residence,Nabeul,Cite El Wafa,36.4516,10.7368,Apartment,91000,560,305,182,76,49,21,275000
Mrezga Garden Villas,Nabeul,Mrezga,36.4339,10.728,Villa,116000,510,305,186,82,55,16,430000
Nabeul Central Plaza,Nabeul,Nabeul Centre,36.4561,10.7376,Mixed Use,86000,420,220,124,45,26,39,310000
Ennour Family Residences,Nabeul,Cite Ennour,36.463,10.7442,Apartment,54000,310,128,74,20,9,44,225000
Hammamet Road Offices,Nabeul,Route de Hammamet,36.4238,10.7021,Office,60000,290,140,82,25,12,41,240000
Yasmine Marina Residences,Hammamet,Yasmine Hammamet,36.3574,10.533,Apartment,150000,880,512,314,145,98,12,520000
Hammamet Nord Cliff Villas,Hammamet,Hammamet Nord,36.4229,10.614,Villa,168000,640,390,242,115,78,10,620000
Hammamet Sud Park Homes,Hammamet,Hammamet Sud,36.3733,10.5485,Apartment,90000,520,272,164,63,39,27,355000
Mrezga Coast Apartments,Hammamet,Mrezga,36.4302,10.7065,Apartment,98000,540,286,176,66,41,29,390000
Bir Bouregba Living,Hammamet,Bir Bouregba,36.5714,10.5618,Townhouse,52000,280,118,69,19,8,48,265000
Citrus Business Center,Hammamet,Hammamet Centre,36.4017,10.6225,Office,67000,335,162,90,30,14,43,310000
Sfax Jadida Residences,Sfax,Sfax El Jadida,34.7456,10.7614,Apartment,64000,420,210,122,44,25,37,235000
Route Tunis Business Park,Sfax,Route de Tunis,34.7794,10.7262,Office,76000,390,198,116,41,23,35,275000
Sakiet Ezzit Family Homes,Sfax,Sakiet Ezzit,34.7859,10.8125,Townhouse,47000,255,108,61,17,7,50,210000
Sakiet Eddaier Green Court,Sfax,Sakiet Eddaier,34.7708,10.8404,Apartment,45000,270,112,64,18,8,52,205000
Chihia Industrial Lofts,Sfax,Chihia,34.7289,10.7086,Mixed Use,58000,300,125,71,22,10,46,190000
El Ain Modern Villas,Sfax,El Ain,34.7525,10.6982,Villa,102000,480,292,178,80,54,15,380000
